#{"t_start": 1587010946.02111, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-509.699872,92,0.673052
-257.241413,126,0.969324
-96.058154,108,1.075135
-244.989369,104,1.174587
-400.35021,120,1.292179
-41.812274,80,1.355494
-63.284526,109,1.468332
-129.96133,76,1.550961
-436.355657,121,1.66399
-136.345471,71,1.701427
-380.293043,97,1.799015
-597.822489,102,1.921068
-483.261489,152,2.073085
-395.696184,104,2.174332
-337.205413,124,2.280134
36.842365,82,2.358286
-32.059352,69,2.391835
-90.746414,167,2.522106
-109.094646,84,2.601188
-31.121673,71,2.675933
-446.275882,230,2.861591
-211.73167,161,3.034275
-100.020791,101,3.084711
-263.641515,122,3.189773
-407.143332,126,3.295371
-208.38025,87,3.388728
-247.845418,108,3.485833
-215.926594,112,3.581205
-117.849077,103,3.676384
-238.475974,130,3.782732
-221.256959,100,3.833127
-534.01987,145,3.947635
-6.809715,1000,6.146895
-334.96089,146,6.258467
-64.693118,71,6.328865
-667.145693,188,6.478418
-99.411181,136,6.621351
-311.761036,103,6.674041
-88.725654,67,6.742205
-90.356996,184,6.886037
-20.346651,75,6.962965
-113.597989,106,7.053456
-91.561497,82,7.090767
-30.080017,110,7.191151
-265.718751,123,7.286587
-181.107522,102,7.37463
-73.354355,68,7.44235
-115.197001,67,7.473916
-78.39655,72,7.558655
-57.320016,74,7.600443
-89.890676,73,7.689576
-148.118754,86,7.744901
-299.385898,134,7.88312
-77.357463,78,7.977332
-70.547825,130,8.109861
-133.039369,106,8.215471
-128.773249,150,8.343764
-140.594688,99,8.429605
-275.820177,125,8.532024
-61.255237,127,8.644894
-360.746088,128,8.779051
-241.674771,113,8.891929
-292.37442,129,9.017646
-344.144011,135,9.152745
-74.9726,91,9.204834
-206.112492,104,9.312245
-247.214567,88,9.413088
-139.589633,96,9.521369
-336.195063,154,9.667218
-304.04441,93,9.754354
-110.709547,161,9.933723
-94.547804,119,10.050708
-83.069849,220,10.305438
-342.010027,115,10.374519
-268.203206,197,10.580296
-147.608453,148,10.705004
-66.952081,150,10.838067
-54.223313,79,10.922868
-51.918772,104,11.017834
-74.931902,138,11.137018
-238.587688,98,11.234304
-77.849173,203,11.418321
-111.377909,128,11.545347
-292.897329,138,11.683886
-122.326411,162,11.883287
-142.646258,113,11.957641
-224.983107,188,12.18609
-62.953237,101,12.298305
-24.027355,154,12.443915
-133.227158,148,12.587858
-45.114512,121,12.712206
-123.908861,179,12.883851
-2.776625,168,13.096642
-306.29639,180,13.275364
-102.594507,88,13.372205
-83.902761,157,13.521952
-83.322463,143,13.65925
-41.586873,81,13.75216
-57.782843,88,13.804749
-236.404889,200,14.035057
-75.396837,131,14.161868
-51.979553,122,14.285252
-37.68647,85,14.387109
-84.004831,132,14.51461
-95.755108,121,14.626058
-37.18037,186,14.796695
-203.974957,200,15.026675
8.177575,110,15.139551
-42.762825,85,15.191191
-79.860159,105,15.29802
-63.055426,85,15.398922
-183.559041,163,15.548114
-11.012691,229,15.801694
-37.896709,126,15.920851
-256.96275,170,16.085051
-331.259488,296,16.435758
-258.230955,227,16.725219
-754.723357,281,17.145163
1.099525,128,17.270629
-506.219462,291,17.672918
-260.205553,160,17.853474
-314.890813,208,18.085382
5.697761,101,18.207047
-206.872939,233,18.518596
-29.94543,126,18.638016
-19.310176,1000,21.298456
-279.498456,141,21.46713
-512.016917,363,21.929443
-48.538331,98,22.017412
-144.88761,224,22.203147
-99.642226,124,22.310527
-36.525203,106,22.402916
13.730991,178,22.590336
-115.162346,232,22.795333
-52.28601,102,22.904112
-41.69747,209,23.147051
-53.438166,99,23.238402
-101.484621,203,23.436514
-11.031259,98,23.532938
-100.55209,164,23.693935
-46.018659,123,23.828524
-48.895308,132,23.953406
-6.743592,93,24.04698
-3.485886,145,24.179511
-331.10382,317,24.514027
-22.433059,139,24.688719
-152.290057,199,24.872769
-134.512706,151,25.008053
-169.358676,207,25.244401
-72.939344,161,25.399415
-30.629976,123,25.512794
-99.842763,165,25.653309
-186.444291,331,26.047374
-187.77024,241,26.313906
-28.72724,144,26.447883
-41.886251,114,26.552149
-53.26543,167,26.69691
-143.919858,243,26.951074
-60.336783,262,27.271689
-40.147515,157,27.416073
-46.042255,599,28.464455
-36.695316,130,28.603738
-324.906405,414,29.321511
-316.720541,301,29.711732
-428.540515,268,30.049658
85.239948,1000,32.42492
-750.795871,326,32.806065
-650.769885,620,33.921275
-600.788689,406,34.464412
-65.008049,177,34.683833
-38.561947,283,34.998648
92.035532,1000,36.703637
-69.882207,353,37.080872
-293.184221,625,37.944098
46.308091,254,38.236633
-161.176702,392,38.693871
-200.286471,290,38.9942
-329.64122,594,39.822155
-71.262337,308,40.192935
-32.262634,246,40.42218
-22.604023,1000,42.072796
26.686229,1000,43.840085
125.823388,1000,45.733536
37.420777,266,46.028663
84.081154,1000,48.443921
126.925346,1000,49.8731
38.207779,317,50.224237
116.382014,1000,51.851779
-197.790329,368,52.293106
65.787506,1000,53.97401
-338.610371,1000,55.971686
-96.583676,1000,58.109292
12.498194,1000,59.796135
-67.020673,1000,61.718943
146.330372,1000,63.637398
-56.19028,1000,65.356238
-166.818634,1000,67.465449
-72.691318,1000,69.273575
-58.276702,1000,71.86221
-72.023054,1000,74.60816
71.649315,1000,77.226436
-66.752952,1000,79.962364
-82.513977,1000,82.587897
-63.363622,1000,84.10716
-13.783903,1000,86.358079
-23.372045,1000,89.246099
-35.981328,1000,91.185493
-58.168126,1000,92.724815
-83.372553,1000,95.066985
-59.491611,1000,97.371428
-71.726505,1000,99.409735
8.563855,1000,101.28049
-78.699739,1000,103.001505
-39.699022,1000,105.399815
-64.546106,1000,107.756969
-11.902031,1000,110.02718
0.142366,1000,112.349918
-11.601552,1000,114.33902
122.187681,639,115.537199
101.02373,867,117.001326
-22.652439,1000,119.037782
127.768024,978,121.336016
-39.483559,712,122.869045
-42.069745,1000,124.483948
123.568679,745,126.017466
-73.749532,1000,127.869502
-158.63273,892,129.52533
-146.167032,712,130.670564
-94.995889,1000,133.039586
-103.836024,1000,135.26471
-182.45771,870,136.490662
78.95713,1000,138.660189
131.752303,637,139.875219
-91.622403,799,140.966044
-7.943713,1000,142.522696
103.85272,674,143.557704
-36.595694,1000,145.455678
132.895168,798,146.903159
149.07176,585,147.906223
-45.718793,1000,149.967839
-128.836749,698,150.905818
232.255346,557,151.61885
162.143256,607,152.798872
143.807264,640,153.903493
-110.549799,492,154.639732
112.206442,1000,156.958151
121.346127,545,157.841593
148.040994,495,158.531927
179.182304,690,159.804629
148.230859,539,160.543082
237.606331,560,161.332781
-33.318621,302,161.705945
178.432461,734,162.829657
-87.835373,522,163.580555
110.921282,1000,164.915225
139.563308,1000,166.744325
237.641769,503,167.426631
91.832036,1000,169.604958
164.768457,369,170.071185
178.025946,1000,171.622137
161.514463,1000,173.186887
66.587769,1000,175.060254
67.215345,1000,176.920538
197.882248,393,177.487853
113.322654,1000,179.663032
172.915443,385,180.164351
220.354072,749,181.350444
150.637861,1000,182.921848
108.393203,1000,184.784852
-3.883176,231,185.015356
196.277099,323,185.413703
142.355111,1000,186.872925
186.011705,413,187.322074
191.60309,599,188.144638
120.379634,1000,189.611137
184.00413,357,190.100368
151.090137,1000,191.766678
124.036155,1000,193.399053
110.88339,1000,194.892585
4.965532,293,195.235144
90.126891,1000,196.847414
205.485668,511,197.494105
219.552128,430,198.11615
129.616231,1000,199.643251
176.651957,482,200.368789
145.45667,589,201.162086
85.876608,1000,202.992289
116.415301,1000,204.829089
109.269811,1000,206.601263
82.495788,1000,208.333704
183.289845,501,209.034023
108.595347,1000,211.264199
104.040041,1000,213.289233
109.640759,1000,214.972187
117.401829,1000,216.931535
191.04555,429,217.488461
82.051522,1000,219.513402
121.682575,1000,221.302767
105.499319,1000,223.330361
182.805726,358,223.71096
-59.045352,297,224.011843
-32.205082,279,224.324765
-70.452915,292,224.624263
-64.333794,276,224.88173
143.202762,1000,226.183826
189.27175,1000,227.825446
163.522052,1000,229.301529
138.919756,1000,230.586142
-20.075084,205,230.797486
105.39443,1000,232.573614
189.14663,304,232.872198
188.319899,233,233.113001
153.165199,357,233.572467
207.968265,248,233.836773
-69.810857,210,234.010396
170.646473,1000,235.353042
103.246704,1000,236.896073
50.637476,1000,238.373897
246.794426,432,238.900375
-59.041814,182,239.088545
-5.273024,161,239.226007
107.827224,1000,240.680602
13.630857,233,240.882435
213.877644,410,241.383879
181.364629,306,241.706193
194.656886,268,241.995097
-43.976982,264,242.253663
-62.510128,197,242.466562
191.647294,345,242.827254
186.201268,1000,244.239055
-28.843631,209,244.450636
154.764977,1000,246.111211
203.427532,275,246.399646
175.236375,267,246.671624
-2.252087,1000,248.217548
-24.176042,234,248.451213
162.314492,1000,249.912076
198.679435,355,250.378921
-10.610674,258,250.644153
151.099354,1000,252.089834
266.274451,350,252.506549
-9.119957,265,252.761849
131.277123,1000,254.151694
204.50627,262,254.434407
149.697328,1000,256.012787
-54.955464,177,256.203868
35.43231,245,256.446033
28.923975,222,256.633276
172.43927,610,257.441672
-53.187477,202,257.648166
180.951098,321,258.004506
121.737361,1000,259.310153
132.04603,1000,261.215523
9.219207,261,261.477794
-28.874699,184,261.628515
-8.433846,209,261.837763
-73.677744,195,262.036512
238.765961,588,262.782295
-26.389141,199,262.979885
199.17698,256,263.258827
20.6668,211,263.439992
16.339617,175,263.615996
21.827117,211,263.796891
59.48949,216,264.031016
27.320454,212,264.249627
8.143315,164,264.39097
54.557402,239,264.625112
-11.404506,170,264.76478
247.081868,296,265.091446
53.98955,214,265.319388
89.77726,1000,266.63185
26.876095,147,266.756418
-44.708385,202,266.956193
5.995164,161,267.0895
21.862096,185,267.242389
32.002913,205,267.454228
1.967558,170,267.587172
241.778679,195,267.783861
50.664104,214,268.001055
262.682359,423,268.527728
-10.943298,119,268.631446
46.101691,203,268.804331
20.18809,111,268.906882
8.638383,161,269.037094
18.00202,203,269.237803
-16.098271,122,269.346022
49.648908,219,269.572603
5.64029,181,269.716637
5.346291,168,269.864841
36.413554,202,270.068797
20.443299,192,270.260957
27.640296,120,270.334843
66.763879,205,270.551728
58.028181,191,270.751184
109.040741,1000,272.042083
17.812007,166,272.212221
52.998355,193,272.373088
220.158639,207,272.588417
-4.252796,154,272.716254
4.966137,190,272.872597
41.993149,204,273.077881
56.430676,218,273.291507
135.587447,1000,274.499934
-36.233899,160,274.637483
22.501483,135,274.748716
57.819624,215,274.962015
45.706651,217,275.145354
13.02915,123,275.251991
3.77781,182,275.438315
44.360757,198,275.602842
219.733254,280,275.906711
224.506572,420,276.412918
31.480913,166,276.551366
45.985959,187,276.71174
212.421153,219,276.93266
-4.011798,186,277.118011
192.880867,337,277.450576
-15.402211,180,277.64184
138.912103,1000,279.149503
238.194046,495,279.884311
211.437022,201,280.095145
251.198434,730,280.943819
125.61595,1000,282.466063
20.836152,147,282.63563
217.416156,391,283.129972
268.959363,275,283.42627
1.596351,227,283.644007
225.575168,303,283.95472
-0.770475,211,284.182031
12.000235,170,284.326606
126.9211,1000,285.867201
218.252282,506,286.650645
127.592752,1000,287.859482
125.353665,1000,289.354205
14.01504,184,289.539863
142.29569,1000,291.345664
224.65452,297,291.636693
118.717697,1000,292.967312
130.916736,1000,294.587856
146.261333,1000,295.896501
134.970239,1000,297.20044
143.565361,1000,298.570712
219.228452,254,298.823552
44.182787,256,299.110258
145.600783,1000,300.728433
-36.692033,180,300.869759
220.010057,727,302.217731
125.458348,1000,303.65035
142.219888,1000,305.669545
229.985047,347,306.098551
247.02232,324,306.440889
165.392236,1000,307.799629
2.516985,232,308.023502
145.390707,1000,309.743564
129.954664,1000,311.369013
228.013242,206,311.572717
201.286384,247,311.808718
150.454879,1000,313.395111
158.262839,1000,315.160865
137.708728,1000,316.487957
29.666296,251,316.745363
-74.415119,190,316.898871
8.973398,169,317.077763
-12.72743,170,317.224804
141.814417,1000,318.537132
127.205461,1000,320.107981
135.537483,1000,321.517268
122.784516,1000,322.88899
143.697575,1000,324.699845
146.652141,1000,326.308773
134.77083,1000,327.695278
130.674511,1000,329.165764
205.387054,319,329.56995
103.572563,1000,331.120927
243.22074,361,331.523108
220.80801,260,331.776281
136.97654,1000,333.19033
206.53391,302,333.580664
44.825062,780,335.037218
145.769572,384,335.476005
160.463962,1000,337.025138
248.288966,306,337.365686
21.913111,217,337.590073
-117.400195,634,338.604095
151.910527,1000,340.387477
155.19151,1000,341.792831
122.117838,1000,343.276212
112.235116,1000,344.663758
144.19244,1000,345.859036
-40.435401,216,346.054146
9.953443,212,346.273965
140.198724,1000,347.86157
142.392127,1000,349.412984
6.367129,153,349.54021
132.91847,1000,350.969175
243.961442,560,351.698227
155.895425,1000,353.141396
-9.109148,196,353.300358
141.657476,1000,354.729255
202.72355,592,355.517975
134.21272,1000,356.915714
227.689491,299,357.225773
-74.02929,1000,359.323745
-86.397578,1000,361.122624
181.069554,1000,362.720842
172.873133,262,363.000859
-61.713084,304,363.323508
167.408825,1000,364.555855
102.634025,1000,366.143463
-123.142045,618,367.005541
-141.057182,735,368.027708
-110.575603,616,368.953999
-31.802478,207,369.175551
-118.007254,505,369.862293
-83.912472,477,370.480446
-132.256047,583,371.174877
-128.700851,600,371.996596
210.81872,356,372.467827
-141.227175,571,373.509926
-133.400949,586,374.255207
130.640333,1000,375.819023
122.982338,1000,377.321122
153.242317,1000,378.865341
131.1354,1000,380.255069
-36.344834,408,380.697072
226.976406,289,380.955618
102.065996,1000,383.058038
19.173599,189,383.215376
-69.839488,1000,385.08444
215.343529,840,386.539743
