#{"t_start": 1586941014.102997, "env_id": "Taxi-v3"}
r,l,t
-776,200,0.86434
-803,200,0.972874
-632,200,1.056647
-722,200,1.165305
-794,200,1.248309
-695,200,1.35703
-875,200,1.436112
-767,200,1.539382
-866,200,1.640946
-722,200,1.721502
-785,200,1.825841
-731,200,1.905132
-713,200,2.007575
-920,200,2.084791
-677,200,2.186688
-884,200,2.267046
-776,200,2.373582
-767,200,2.478921
-749,200,2.56609
-704,200,2.674577
-650,200,2.752633
-812,200,2.854541
-812,200,2.932492
-839,200,3.038172
-722,200,3.149205
-677,200,3.233327
-704,200,3.332824
-695,200,3.41101
-731,200,3.524206
-659,200,3.605745
-641,200,3.712877
-659,200,3.791881
-794,200,3.895359
-848,200,3.998615
-713,200,4.079276
-758,200,4.183826
-749,200,4.264402
-686,200,4.366985
-677,200,4.44446
-677,200,4.547212
-704,200,4.653782
-686,200,4.735374
-812,200,4.838824
-686,200,4.917956
-713,200,5.019022
-713,200,5.100119
-794,200,5.209545
-749,200,5.289308
-713,200,5.393446
-659,200,5.498056
-650,200,5.578405
-668,200,5.692942
-632,200,5.778189
-668,200,5.88427
-605,200,5.965612
-668,200,6.06982
-596,200,6.175265
-767,200,6.254566
-704,200,6.35729
-668,200,6.436409
-632,200,6.538431
-731,200,6.618135
-587,200,6.719883
-587,200,6.79619
-641,200,6.898233
-596,200,7.001508
-605,200,7.081998
-524,200,7.184746
-569,200,7.264109
-551,200,7.366951
-659,200,7.446707
-349,118,7.503052
-551,200,7.60492
-740,200,7.684003
-533,200,7.787468
-641,200,7.891038
-596,200,7.971717
-488,200,8.073172
-650,200,8.152125
-641,200,8.252612
-632,200,8.331624
-650,200,8.432962
-560,200,8.53209
-704,200,8.609583
-758,200,8.709593
-578,200,8.787592
-587,200,8.889103
-668,200,8.967526
-686,200,9.069051
-578,200,9.147231
-560,200,9.250487
-587,200,9.353281
-596,200,9.431655
-515,200,9.533806
-650,200,9.61352
-686,200,9.714252
-596,200,9.791873
-578,200,9.896723
-268,100,9.950314
-515,200,10.031512
-614,200,10.13431
-533,200,10.212445
-569,200,10.312427
-578,200,10.412926
-677,200,10.491196
-560,200,10.592833
-533,200,10.67076
-596,200,10.773859
-524,200,10.852482
-336,123,10.911073
-623,200,11.016263
-497,200,11.096366
-614,200,11.197084
-497,200,11.296236
-551,200,11.373064
-542,200,11.472833
-650,200,11.549529
-542,200,11.649643
-551,200,11.727073
-488,200,11.827883
-650,200,11.926702
-596,200,12.004505
-596,200,12.105143
-668,200,12.184668
-641,200,12.287847
-515,200,12.367903
-533,200,12.471232
-542,200,12.552025
-479,200,12.652329
-560,200,12.753187
-452,200,12.83188
-479,200,12.932334
-533,200,13.012304
-533,200,13.118845
-551,200,13.200491
-551,200,13.305537
-479,200,13.408072
-569,200,13.487089
-533,200,13.588593
-488,200,13.668592
-524,200,13.772056
-569,200,13.851713
-623,200,13.955801
-506,200,14.034583
-524,200,14.137184
-560,200,14.239157
-470,200,14.317258
-479,200,14.41689
-533,200,14.495562
-560,200,14.597996
-515,200,14.676933
-569,200,14.77753
-578,200,14.877222
-479,200,14.955529
-497,200,15.055969
-506,200,15.133929
-524,200,15.235378
-380,200,15.313939
-479,200,15.415778
-488,200,15.504905
-425,200,15.610859
-524,200,15.714767
-461,200,15.796219
-461,200,15.898637
-506,200,15.977986
-461,200,16.082612
-416,200,16.161553
-506,200,16.261416
-461,200,16.364107
-470,200,16.443205
-470,200,16.544452
-434,200,16.622803
-434,200,16.723025
-344,167,16.791979
-443,200,16.895135
-479,200,16.975308
-461,200,17.07865
-578,200,17.15763
-371,200,17.260462
-461,200,17.340804
-407,200,17.44467
-434,200,17.550184
-515,200,17.63153
-443,200,17.73412
-380,200,17.810763
-506,200,17.910799
-380,200,17.98825
-470,200,18.089027
-416,200,18.189344
-398,200,18.268846
-461,200,18.372881
-434,200,18.453217
-497,200,18.558552
-434,200,18.63796
-407,200,18.739358
-434,200,18.816567
-353,200,18.917258
-407,200,19.017971
-452,200,19.099267
-479,200,19.202761
-443,200,19.282885
-380,200,19.38475
-443,200,19.463226
-452,200,19.563529
-398,200,19.663149
-434,200,19.741282
-452,200,19.841482
-407,200,19.919758
-183,87,19.966227
-452,200,20.04454
-380,200,20.152628
-452,200,20.251469
-461,200,20.329877
-389,200,20.429202
-317,200,20.505537
-506,200,20.606247
-416,200,20.682166
-452,200,20.782217
-353,200,20.881898
-443,200,20.959886
-407,200,21.059627
-416,200,21.137364
-407,200,21.236466
-371,200,21.312263
-434,200,21.413609
-317,200,21.490325
-407,200,21.590576
-362,200,21.6909
-398,200,21.768462
-317,200,21.868723
-398,200,21.945904
-488,200,22.045375
-380,200,22.12189
-398,200,22.222167
-335,200,22.321253
-335,200,22.399256
-443,200,22.498894
-281,200,22.576406
-362,200,22.676537
-389,200,22.754134
-362,200,22.854222
-371,200,22.93293
-407,200,23.038405
-425,200,23.143953
-380,200,23.227413
-344,200,23.331378
-326,200,23.414786
-353,200,23.520284
-398,200,23.600581
-344,200,23.705013
-398,200,23.80541
-371,200,23.884081
-380,200,23.98471
-353,200,24.061917
-380,200,24.162975
-380,200,24.240301
-443,200,24.342015
-362,200,24.421795
-96,63,24.461768
-371,200,24.562537
-380,200,24.643364
-407,200,24.748319
-380,200,24.829445
-344,200,24.933593
-344,200,25.014648
-326,200,25.118947
-389,200,25.198351
-389,200,25.302876
-353,200,25.406345
-398,200,25.486733
-299,200,25.591592
-353,200,25.671628
-362,200,25.77461
-353,200,25.853609
-461,200,25.958975
-380,200,26.064087
-416,200,26.145164
-389,200,26.247235
-344,200,26.327265
-353,200,26.43156
-371,200,26.510917
-371,200,26.613765
-335,200,26.692386
-353,200,26.794862
-407,200,26.897114
-371,200,26.975021
-299,200,27.075567
-326,200,27.153851
-416,200,27.258852
-317,200,27.339259
-362,200,27.44258
-180,129,27.502608
-425,200,27.603748
-299,200,27.682049
-353,200,27.783438
-326,200,27.860994
-299,200,27.96029
-326,200,28.038312
-326,200,28.142035
-299,200,28.223096
-290,200,28.32728
-389,200,28.431665
-380,200,28.512566
-344,200,28.617091
-371,200,28.69831
-371,200,28.802927
-335,200,28.881163
-389,200,28.982433
-362,200,29.082264
-371,200,29.16004
-398,200,29.259549
-281,200,29.337548
-353,200,29.438968
-371,200,29.518707
-353,200,29.622758
-380,200,29.703073
-281,200,29.806624
-335,200,29.907779
-335,200,29.985497
-326,200,30.086369
-380,200,30.164124
-335,200,30.264748
-281,200,30.341618
-371,200,30.44299
-335,200,30.545318
-389,200,30.622824
-335,200,30.722586
-335,200,30.799205
-308,200,30.899318
-362,200,30.976254
-353,200,31.076083
-344,200,31.152829
-281,200,31.253378
-263,200,31.352144
-281,200,31.429215
-326,200,31.528507
-344,200,31.604651
-272,200,31.703941
-380,200,31.780383
-308,200,31.881777
-326,200,31.982943
-335,200,32.062386
-317,200,32.165446
-308,200,32.245808
-317,200,32.349889
-326,200,32.431161
-299,200,32.534527
-326,200,32.616231
-317,200,32.721618
-299,200,32.827482
-290,200,32.909405
-326,200,33.014367
-272,200,33.096186
-326,200,33.19947
-317,200,33.279484
-353,200,33.385361
-290,200,33.490812
-254,200,33.570546
-272,200,33.672897
-281,200,33.754959
-335,200,33.860037
-335,200,33.939285
-308,200,34.04214
-389,200,34.120364
-290,200,34.22516
-326,200,34.329137
-308,200,34.409286
-308,200,34.513292
-281,200,34.59304
-380,200,34.698207
-290,200,34.778976
-335,200,34.882294
-326,200,34.983941
-272,200,35.065388
-326,200,35.16966
-281,200,35.250454
-263,200,35.353361
-281,200,35.432955
-290,200,35.535547
-326,200,35.612587
-299,200,35.719814
-272,200,35.819635
-317,200,35.897855
-299,200,35.998433
-236,200,36.076136
-308,200,36.177624
-326,200,36.254684
-272,200,36.356512
-299,200,36.460479
-290,200,36.541505
-299,200,36.646014
-281,200,36.725749
-245,200,36.830048
-317,200,36.912168
-299,200,37.017046
-290,200,37.097905
-263,200,37.202828
-344,200,37.308727
-236,200,37.389021
-308,200,37.492808
-281,200,37.573886
-308,200,37.67831
-344,200,37.758992
-272,200,37.864485
-317,200,37.967147
-263,200,38.046555
-272,200,38.153297
-290,200,38.231431
-326,200,38.332232
-290,200,38.410897
-317,200,38.514194
-335,200,38.593873
-317,200,38.694996
-308,200,38.796237
-308,200,38.874111
-245,200,38.976232
-272,200,39.053732
-272,200,39.155205
-326,200,39.24253
-308,200,39.34759
-326,200,39.450527
-299,200,39.528569
-308,200,39.631075
-263,200,39.711938
-236,200,39.813064
-281,200,39.88927
-272,200,39.992973
-290,200,40.075285
-272,200,40.181649
-326,200,40.286658
-281,200,40.366956
-236,200,40.474064
-272,200,40.557747
-317,200,40.662582
-281,200,40.742978
-299,200,40.847399
-308,200,40.951759
-326,200,41.034342
-245,200,41.141362
-299,200,41.225543
-308,200,41.331231
-272,200,41.414096
-245,200,41.518843
-263,200,41.600176
-299,200,41.704741
-317,200,41.810179
-263,200,41.89294
-308,200,41.997889
-236,200,42.080778
-245,200,42.186672
-308,200,42.268553
-272,200,42.377272
-317,200,42.483626
-263,200,42.56656
-299,200,42.67114
-235,184,42.749531
-281,200,42.856887
-272,200,42.941771
-281,200,43.048191
-299,200,43.131442
-263,200,43.240493
-326,200,43.323169
-299,200,43.429063
-344,200,43.535576
-281,200,43.618636
-299,200,43.724542
-263,200,43.808144
-290,200,43.913944
-245,200,43.999628
-335,200,44.107197
-254,200,44.213478
-236,200,44.2964
-272,200,44.402889
-272,200,44.486483
-272,200,44.591229
-236,200,44.67182
-254,200,44.774026
-263,200,44.854424
-254,200,44.959879
-281,200,45.06328
-236,200,45.1441
-254,200,45.250943
-245,200,45.333324
-272,200,45.439336
-272,200,45.52042
-236,200,45.622774
-263,200,45.725801
-272,200,45.804702
-281,200,45.905101
-254,200,45.983255
-254,200,46.087277
-308,200,46.168351
-290,200,46.271827
-308,200,46.349882
-263,200,46.456549
-290,200,46.558343
-281,200,46.639464
-263,200,46.744073
-281,200,46.825872
-290,200,46.929822
-245,200,47.011318
-281,200,47.116241
